content	Sentiment	Emotion
  bukan menyenangkan malah bikin kesal hp saya realme c 11 malah ngeblank hitam ga masuk keloading giliran udah masuk malah loading nya berhenti masuk juga mod nya kadang muncul kadang ga ada mod nya.dan juga traffic nya udah tau ada mobil pengen belok masih ajj ditabrak kasih lampu sein juga sama.traffik nya juga masih ada yang lama jalan nya.dan yang mau kemaluku jalan nya lah dikondisikan masa ya susah banget jalan nya. Makasih tolong respon.	Negative	Anger
  kalo ngak niat bikin gamenya bagus hapus aja dah gamenya, masa setiap narik atau mabar diconet mulu, kalo niat bikin game update ada apa saja bug pada game, kalo udah bener ntar kasih bintang 5	Negative	Anger
  kntl, masa ada iklan ngga bisa di skip. Padahal perjalanan kurang 1 kota lagi. Jadi males main online, udah gitu mobil yang dari lawan arah tiba" menabrak bis saya..terus juga pas mau putar balik malah di tabrakin juga	Negative	Anger
  makin lama, makin gak jelas dri sblum di update game ini tiba tiba keluar sndiri tapi setelah di update 3.7   suka keluar sndiri di saat mau main, mana bnyak Bug tlong   di perbaiki lgi sperti sensitif stir sama hujan pas di setting udh off tpi pas main msih ttep hujan sma Traffik suka nabrak sendiri Tolong Di perbaiki, kasihan untuk pengemar bus mania	Negative	Anger
  semenjak update sangat sangat buruk setiap main bareng sering disconeted padahal sinyal bagus cukup bintang satu aja untuk  	Negative	Anger
  ᗷᑌᖇIᘜ	Negative	Anger
 5 turun ke 1 | narik padang - denpasar ! sudah mengikuti garis biru dan 5× hanya muter Wonogiri - Sukoharjo padahal sudah loading-unggah peta-iklan. hal serupa juga terjadi pas di Lampung tapi hanya 2×. kenapa min ? maintenan nya bagaimana ini ? jangan iklan dibanyakin maintenan kurang. kacau!	Negative	Anger
 bangkrut sodara.. Udah hapus aja aplikasinya di hp kmu percuma Dia udah bangkrut	Negative	Anger
 berita hoax kok di up..kenapa gak cek n ricek dl..gak kasihan apa dg keadaan indo sekarang..Shame on you	Negative	Anger
 Beritanya bikin hancur dunia Crypto, Market tambah merah meron. Jadi nyangkut deh. Hareuugghhhh bikin bikin dimarahin istri .	Negative	Anger
 beritanya ngawur tidak berdasar seakan-akan berdasarkan pesanan, sangat mendiskreditkan kebijakan Jokowi, masak pelaku penusukan Wiranto itu dendam karena tanahnya kena gusur buat Tol, lah bukannya tanah yang kena gusur buat Tol itu gantinya jauh lebih mahal berlipat-lipat kok malah dendam, terus kenapa ke Wiranto bukanya ke  Pekerjaan Umum, sungguh berita  amat sangat mengecewakan dan menyesatkan, pertanyaannya apa  dapat imbalan dengan nilai dolar yang fantastis dari Cen..na	Negative	Anger
 Gak ada yang on Malhan gak di balas kesal Kecewa sekali HAPUS AJAH INI APLIKASI PENIPUAN I NI KARENA BISA BIKIN RUGI MASYARAKAT INDONESIA TERIMAKASIH	Negative	Anger
 Imdonesia mulai sering memberikan berita HOAX dan mulai tidak netral	Negative	Anger
 indonesia berita masalah papua selalu memojokan pemerintah,apa harapan dr  ini.sudah ku deleted.ga seirama.dgn saya NKRI HARGA MATI.	Negative	Anger
 Indonesia,berita online yg nggak netral,sering memberitakan HOAX	Negative	Anger
 kumpulan berita FITNAH berbicara agama dan keyakinan bukan dg ilmiyah tapi BAHLULIYAH WAL JAHILIYA.asal nyeplos sok tau tapi MENYESATKAN	Negative	Anger
 makin gak jelas masa capek² chat poin gak masuk	Negative	Anger
 malah ngurus game yg satunya lagi ..sementara kontrol setir tilt dibussid belum dibetulkan .. secepat nya dong tanggapi keluhan kami ..masa harus nunggu satu tahun	Negative	Anger
 media KADRUN dan SAMPAH..!!	Negative	Anger
 media sekarang penuh dengan HOAX. PAYAH BENER!!	Negative	Anger
 Msih kurang sempurna..sistem transfernya kurang cepat..stlh kita transfer ke harus nunggu beberapa mnit .lama	Negative	Anger
 setiap jam 9:30 sampai 22:30 kalau kirim uang dari BCA ke bank lain sering nyangkut. Paling benci saat lagi butuh butuhnya tidak bisa di andalkan.	Negative	Anger
