	Original Data (Indonesian)	Translated Data Into English	Sentiment	Emotion
0	bukan menyenangkan malah bikin kesal hp saya realme c 11 malah ngeblank hitam ga masuk keloading giliran udah masuk malah loading nya berhenti masuk juga mod nya kadang muncul kadang ga ada mod nya.dan juga traffic nya udah tau ada mobil pengen belok masih ajj ditabrak kasih lampu sein juga sama.traffik nya juga masih ada yang lama jalan nya.dan yang mau kemaluku jalan nya lah dikondisikan masa ya susah banget jalan nya. Makasih tolong respon. 	it's not fun, it even irritates my cellphone, realme c 11, instead it turns black, doesn't go into loading, the turn has entered, instead the loading stops, the mod sometimes appears, sometimes there's no mod. the turn signal is the same. the traffic also still takes a long time. and those who want to go to my shame, the conditions are that it's really hard to go. Thanks please respond.	Negative	Anger
1	kalo ngak niat bikin gamenya bagus hapus aja dah gamenya, masa setiap narik atau mabar diconet mulu, kalo niat bikin game update ada apa saja bug pada game, kalo udah bener ntar kasih bintang 5 	if you don't intend to make the game good, just delete the game, when every time you pull or play, you just keep picking it up, if you intend to make a game update, are there any bugs in the game, if it's correct, then give 5 stars	Negative	Anger
2	"kntl, masa ada iklan ngga bisa di skip. Padahal perjalanan kurang 1 kota lagi. Jadi males main online, udah gitu mobil yang dari lawan arah tiba"" menabrak bis saya..terus juga pas mau putar balik malah di tabrakin juga "	"kntl, when there are ads, you can't skip them. Even though the trip is less than 1 city again. So I'm too lazy to play online, that's when a car coming from the opposite direction arrives"" crashing into my bus...then just as I was about to turn around I was hit too"	Negative	Anger
3	makin lama, makin gak jelas dri sblum di update game ini tiba tiba keluar sndiri tapi setelah di update 3.7 suka keluar sndiri di saat mau main, mana bnyak Bug tlong di perbaiki lgi sperti sensitif stir sama hujan pas di setting udh off tpi pas main msih ttep hujan sma Traffik suka nabrak sendiri Tolong Di perbaiki, kasihan untuk pengemar bus mania 	The longer it takes, the more unclear than before the update, this game suddenly comes out on its own, but after the 3.7 update it likes to go out by itself when I want to play, where are there a lot of bugs, please fix it again, like it's sensitive to steering when it rains when it's in the settings, it's off but when I play, it's still it's still raining high school Traffic likes to crash alone Please fix it, sorry for bus mania fans	Negative	Anger
4	semenjak update sangat sangat buruk setiap main bareng sering disconeted padahal sinyal bagus cukup bintang satu aja untuk 	since the update is very, very bad, every time we play together, it often disconnects, even though the signal is good, just one star is enough	Negative	Anger
5	ᗷᑌᖇIᘜ 	ᗷᑌᖇIᘜ	Negative	Anger
6	5 turun ke 1 | narik padang - denpasar ! sudah mengikuti garis biru dan 5× hanya muter Wonogiri - Sukoharjo padahal sudah loading-unggah peta-iklan. hal serupa juga terjadi pas di Lampung tapi hanya 2×. kenapa min ? maintenan nya bagaimana ini ? jangan iklan dibanyakin maintenan kurang. kacau! 	5 down to 1 | Pull Padang - Denpasar ! already following the blue line and 5× only going around Wonogiri - Sukoharjo even though it has loaded-uploaded map-ads. the same thing also happened right in Lampung but only 2x. why min? how is this maintained? don't add more ads, less maintenance. chaotic!	Negative	Anger
7	bangkrut sodara.. Udah hapus aja aplikasinya di hp kmu percuma Dia udah bangkrut 	Bro, bro.. Just delete the application on your cellphone, it's useless. He's already broke	Negative	Anger
8	berita hoax kok di up..kenapa gak cek n ricek dl..gak kasihan apa dg keadaan indo sekarang..Shame on you 	Hoax news, how come it's up..why don't you check and double check...don't feel sorry for Indo's current situation...Shame on you	Negative	Anger
9	Beritanya bikin hancur dunia Crypto, Market tambah merah meron. Jadi nyangkut deh. Hareuugghhhh bikin bikin dimarahin istri . 	The news destroyed the Crypto world, the market blushed even more. So it's stuck. Hareuugghhhh makes my wife angry.	Negative	Anger
